# This file was produced by samtools stats (1.22.1+htslib-1.22.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -@ 2 /home/nicolas/lrs_benchmarking/alignment_analysis/alignments/HG003.ont.1k.sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	7c5617f1	f814b891	55c8dfdb
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	1000	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	1000
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	1000
SN	last fragments:	0
SN	reads mapped:	999
SN	reads mapped and paired:	0	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	1
SN	reads properly paired:	0	# proper-pair bit set
SN	reads paired:	0	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	202	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	4452
SN	supplementary alignments:	391
SN	total length:	12808634	# ignores clipping
SN	total first fragment length:	12808634	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	12805799	# ignores clipping
SN	bases mapped (cigar):	12492154	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	417741	# from NM fields
SN	error rate:	3.344027e-02	# mismatches / bases mapped (cigar)
SN	average length:	12809
SN	average first fragment length:	12809
SN	average last fragment length:	0
SN	maximum length:	74299
SN	maximum first fragment length:	74299
SN	maximum last fragment length:	0
SN	average quality:	42.2
SN	insert size average:	0.0
SN	insert size standard deviation:	0.0
SN	inward oriented pairs:	0
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	0.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	17	96	68	28	21	17	12	17	12	13	8	10	7	10	8	9	11	12	13	11	14	19	12	6	13	11	16	14	19	19	17	25	28	31	29	26	38	34	24	30	25	19	12	12	20	8	5	5	69	0
FFQ	2	0	0	9	66	71	39	29	18	19	16	8	15	7	13	5	9	5	7	6	20	16	16	15	13	13	10	14	15	15	19	14	23	26	23	26	26	22	32	43	40	27	25	20	15	8	12	10	2	3	4	91	0
FFQ	3	0	0	4	48	75	36	31	20	20	17	14	8	9	14	9	5	2	4	10	12	14	14	9	13	19	14	17	16	18	12	21	17	18	21	32	24	28	33	52	35	24	31	25	14	14	10	4	3	2	6	102	0
FFQ	4	0	0	5	41	59	46	24	23	13	22	12	5	7	4	10	6	5	5	8	6	8	12	10	6	20	14	11	8	18	12	15	21	20	16	31	22	22	25	47	32	39	34	15	26	19	10	13	3	5	3	162	0
FFQ	5	0	0	5	36	56	44	24	14	16	26	9	14	3	5	7	9	3	8	6	2	6	4	10	8	11	7	19	6	19	19	10	20	18	20	24	15	25	35	47	41	29	40	17	21	27	18	6	10	7	8	166	0
FFQ	6	0	0	5	41	47	33	26	31	16	11	13	11	3	6	5	6	3	8	7	5	6	3	5	5	7	12	9	9	16	10	8	20	22	21	33	20	16	25	43	41	34	32	38	26	22	11	12	12	6	2	197	0
FFQ	7	0	0	3	43	50	31	34	26	12	13	15	2	5	7	6	5	3	3	7	3	7	3	5	3	4	9	9	16	15	11	11	16	20	26	25	28	15	18	39	39	37	41	28	24	22	21	15	7	10	4	204	0
FFQ	8	0	0	3	46	46	36	29	23	12	15	10	5	4	3	8	8	2	3	5	7	8	6	3	7	6	4	8	6	15	10	12	14	21	28	30	26	16	28	39	37	33	37	32	20	19	21	15	11	9	2	212	0
FFQ	9	0	0	4	43	50	27	33	20	18	13	9	7	8	5	3	5	3	3	7	9	6	3	3	5	7	17	10	7	9	13	14	12	17	7	28	25	12	35	40	42	29	27	33	38	25	21	13	8	10	4	213	0
FFQ	10	0	0	4	31	58	36	23	19	20	11	9	10	3	9	3	3	4	5	2	7	5	5	5	6	10	7	6	10	10	12	20	14	14	16	33	19	12	33	31	28	39	29	30	29	32	19	11	14	10	7	227	0
